Club_ID,Club_Name,Primary language,Address (Street and Number),Zipcode,City,Province,Country,Participation Games 2015,Participation Games 2016,Participation Games 2017,Participation Games 2018,Participation Games 2019,Participation Games 2022,Participation Games 2023,Participation Games 2024,Participation Games 2025
253,LES WEIGELIAS,French,Avenue de l'Arbalète 58,1170.0,BRUXELLES,Brussel/Bruxelles,BELGIQUE,1.0,True,True,True,True,,,1.0,1.0
254,HADEP,French,Chée de Neerstalle 265,1190.0,BRUXELLES,Brussel/Bruxelles,BELGIQUE,1.0,True,True,True,False,,,,
255,SAPI-CHAPELLE,French,"Rue des Bureaux, 6-8",7160.0,CHAPELLE-LEZ-HERLAIMONT,Hainaut,,1.0,True,True,True,True,1.0,1.0,1.0,1.0
256,LES QUATRE SAISONS,French,Rue Principale 36,6953.0,AMBLY,Luxembourg,BELGIQUE,1.0,True,False,True,True,,1.0,1.0,
258,LES ALIZES,French,Rue des Fusillés 1,4837.0,MEMBACH (BAELEN),Liège,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
259,COLIBRIS CLUB,French,Rue Sart-Moulin 1,1421.0,OPHAIN BOIS SEIGNEUR ISAAC,Brabant Wallon,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
260,L'ENTRE DEUX,French,Thier des Raves 2,4550.0,NANDRIN,Liège,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
261,LES LAPINS BLEUS,French,Rue La Ringe 20,5550.0,ALLE S/ SEMOIS,Namur,BELGIQUE,1.0,True,True,True,True,,1.0,1.0,1.0
262,ENVOL (LE DIARBOIS),French,"1ère Rue, 23 - Parc d'activités Economiques",6040.0,JUMET,Hainaut,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
263,SAPI-TEAM,French,Chemin de Mons 29,7050.0,MASNUY-St-JEAN,Hainaut,,1.0,True,True,True,True,1.0,1.0,1.0,1.0
267,ASBL ESSENTIEL,French,Chaussée de Louvain 563 A,1380.0,LASNE,Brabant Wallon,,1.0,True,True,True,True,1.0,1.0,1.0,1.0
268,DYNAMISPORT,French,Clos des Verdiers 9,1420.0,BRAINE L'ALLEUD,Brabant Wallon,BELGIQUE,1.0,True,True,True,True,,,,
271,LE TOURNESOL SPORTIF,French,Chaussée de Dottignies 124,7730.0,ESTAIMPUIS,Hainaut,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
272,LE PETIT PRINCE DE COURCELLES,French,Rue des Claires fontaines 114,6180.0,COURCELLES,Hainaut,BELGIQUE,1.0,False,False,False,False,,,,
273,SAJA SOLIGNAC,French,Rue des  Lilas 7,5364.0,HAMOIS (SCHALTIN),Namur,BELGIQUE,1.0,True,True,True,True,1.0,1.0,,1.0
274,TABUCHET SPORT,French,Boulevard Ernest Solvay 475,4000.0,Liège,Liège,Belgique,,False,False,False,False,,,,
